course_id,course_code,course_title,program_id,department_id,units
CS-001,CS101,Introduction to Computer Science,P-CS,D-CS,3
CS-002,CS102,Data Structures and Algorithms,P-CS,D-CS,3
CS-003,CS201,Discrete Mathematics,P-CS,D-CS,3
CS-004,CS202,Computer Architecture,P-CS,D-CS,3
CS-005,CS301,Database Systems,P-CS,D-CS,3
PSY-001,PSY101,Introduction to Psychology,P-PSY,D-SS,3
PSY-002,PSY102,Developmental Psychology,P-PSY,D-SS,3
PSY-003,PSY201,Cognitive Psychology,P-PSY,D-SS,3
PSY-004,PSY202,Abnormal Psychology,P-PSY,D-SS,3
POLS-001,POLS101,Introduction to Political Science,P-POLS,D-SS,3
POLS-002,POLS201,Comparative Politics,P-POLS,D-SS,3
POLS-003,POLS202,International Relations,P-POLS,D-SS,3
BIO-001,BIO101,General Biology,P-BIO,D-NS,3
BIO-002,BIO102,Cell Biology,P-BIO,D-NS,3
BIO-003,BIO201,Genetics,P-BIO,D-NS,3
ENG-001,ENG101,Academic Writing,P-ENG,D-LL,3
ENG-002,ENG102,English Composition,P-ENG,D-LL,3
ENG-003,ENG201,British Literature,P-ENG,D-LL,3
COMM-001,COMM101,Introduction to Communication,P-COMM,D-LL,3
COMM-002,COMM102,Public Speaking,P-COMM,D-LL,3
COMM-003,COMM201,Media and Society,P-COMM,D-LL,3
MATH-001,MATH101,College Algebra,,D-MATH,3
MATH-002,MATH102,Calculus I,,D-MATH,4
MATH-003,MATH201,Calculus II,,D-MATH,4
STAT-001,STAT101,Introduction to Statistics,,D-MATH,3
STAT-002,STAT201,Probability Theory,,D-MATH,3

